A,Table A,Title information (filtered),
A,
A,Running EQ6 from EQ3/6-V8.0a (R43a) for PC,
A,---,
A,
A,Sample: {sample_name},
A,Date created:  2023-02-02 12:11 PM,
A,EQ6 input file generated by AqEquil,
A,,
A,---,
A,
A,data0.dyn,
A,Water model: SUPCRT92,
A,TP points: 1,
A,+--------------------------------------------------------------------,
A,---,
B1,EndTable:,A,
B1,
B1,
B1,Table B1,Miscellaneous parameters I,
B1,Xi,t(days),Temp(C),Press(bars),pH,pmH,log fO2,Eh(v),pe,aw,
B1,0.000,0.000,150.0000,500.0000,7.0000,6.9973,-0.6695,0.5238,6.2384,1.0000,
B1,6.8193E-10,0.000,150.0000,500.0000,7.0000,6.9973,-0.6695,0.5238,6.2384,1.0000,
B1,1.0000E-08,0.000,150.0000,500.0000,7.0000,6.9973,-0.6696,0.5238,6.2384,1.0000,
B1,1.0000E-07,0.000,150.0000,500.0000,7.0001,6.9973,-0.6697,0.5238,6.2383,1.0000,
B1,1.0000E-06,0.000,150.0000,500.0000,7.0007,6.9979,-0.6713,0.5237,6.2373,1.0000,
B1,1.0000E-05,0.000,150.0000,500.0000,7.0066,7.0038,-0.6875,0.5228,6.2274,1.0000,
B1,1.0000E-04,0.000,150.0000,500.0000,7.0581,7.0546,-0.8950,0.5142,6.1240,1.0000,
B1,1.6900E-04,0.000,150.0000,500.0000,7.0904,7.0864,-1.1704,0.5057,6.0229,1.0000,
B1,2.4731E-04,0.000,150.0000,500.0000,7.0578,7.0539,-46.8694,-0.4508,-5.3693,1.0000,
B1,3.7096E-04,0.000,150.0000,500.0000,7.0175,7.0138,-46.8849,-0.4477,-5.3329,1.0000,
B1,4.8083E-04,0.000,150.0000,500.0000,6.9895,6.9858,-51.4766,-0.5418,-6.4528,1.0000,
B1,4.8989E-04,0.000,150.0000,500.0000,6.9895,6.9858,-51.5452,-0.5432,-6.4700,1.0000,
B1,5.9074E-04,0.000,150.0000,500.0000,6.9594,6.9558,-52.0767,-0.5518,-6.5728,1.0000,
B1,1.0000E-03,0.000,150.0000,500.0000,6.9893,6.9855,-52.6903,-0.5672,-6.7560,1.0000,
B1,1.0259E-03,0.000,150.0000,500.0000,6.9906,6.9869,-52.7189,-0.5679,-6.7645,1.0000,
B1,1.0395E-03,0.000,150.0000,500.0000,6.9906,6.9869,-52.7189,-0.5679,-6.7645,1.0000,
B1,3.2014E-03,0.000,150.0000,500.0000,7.0295,7.0257,-53.8843,-0.5957,-7.0947,1.0000,
B1,7.3299E-03,0.000,150.0000,500.0000,7.0295,7.0258,-53.8843,-0.5957,-7.0948,1.0000,
B1,1.0000E-02,0.000,150.0000,500.0000,7.0456,7.0418,-54.1559,-0.6027,-7.1788,1.0000,
B1,0.1000,0.000,150.0000,500.0000,7.1467,7.1425,-56.2007,-0.6541,-7.7909,0.9997,
B1,0.4125,0.000,150.0000,500.0000,7.2020,7.1974,-57.4403,-0.6848,-8.1560,0.9988,
B1,1.000,0.000,150.0000,500.0000,7.2020,7.1974,-57.4403,-0.6848,-8.1560,0.9988,
B2,EndTable:,B1,
B2,
B2,
B2,Table B2,Miscellaneous parameters II,
B2,Xi,t(days),H2O(kg),Alk(eq/kg.H2O),Signam(m),I(m),J(m),TDS(g/kg.sol),TDS(g/L),density(g/L),M/m,
B2,0.000,0.000,1.000,3.4772E-05,1.5586E-04,1.7436E-05,-5.7785E-06,0.0045,0.0000,0.0000,0.0000,
B2,6.8193E-10,0.000,1.000,3.4771E-05,1.5587E-04,1.7436E-05,-5.7785E-06,0.0045,0.0000,0.0000,0.0000,
B2,1.0000E-08,0.000,1.000,3.4772E-05,1.5587E-04,1.7437E-05,-5.7781E-06,0.0045,0.0000,0.0000,0.0000,
B2,1.0000E-07,0.000,1.000,3.4777E-05,1.5593E-04,1.7448E-05,-5.7747E-06,0.0045,0.0000,0.0000,0.0000,
B2,1.0000E-06,0.000,1.000,3.4827E-05,1.5647E-04,1.7553E-05,-5.7403E-06,0.0045,0.0000,0.0000,0.0000,
B2,1.0000E-05,0.000,1.000,3.5326E-05,1.6190E-04,1.8600E-05,-5.3961E-06,0.0049,0.0000,0.0000,0.0000,
B2,1.0000E-04,0.000,1.000,4.0019E-05,2.1590E-04,2.9031E-05,-1.9748E-06,0.0091,0.0000,0.0000,0.0000,
B2,1.6900E-04,0.000,1.000,4.3290E-05,2.5696E-04,3.6986E-05,6.2594E-07,0.0124,0.0000,0.0000,0.0000,
B2,2.4731E-04,0.000,1.000,4.0137E-05,2.9087E-04,3.4907E-05,-5.7046E-08,0.0156,0.0000,0.0000,0.0000,
B2,3.7096E-04,0.000,1.000,3.6554E-05,4.0649E-04,3.3250E-05,-5.9598E-07,0.0228,0.0000,0.0000,0.0000,
B2,4.8083E-04,0.000,1.000,3.4392E-05,5.8215E-04,3.2709E-05,-8.1414E-07,0.0293,0.0000,0.0000,0.0000,
B2,4.8989E-04,0.000,1.000,3.4400E-05,5.8808E-04,3.2714E-05,-8.1360E-07,0.0293,0.0000,0.0000,0.0000,
B2,5.9074E-04,0.000,1.000,3.2132E-05,7.4582E-04,3.1304E-05,-1.2916E-06,0.0351,0.0000,0.0000,0.0000,
B2,1.0000E-03,0.000,1.000,3.4466E-05,8.0552E-04,3.2768E-05,-8.2533E-07,0.0300,0.0000,0.0000,0.0000,
B2,1.0259E-03,0.000,1.000,3.4577E-05,8.1157E-04,3.2842E-05,-8.0171E-07,0.0298,0.0000,0.0000,0.0000,
B2,1.0395E-03,0.000,1.000,3.4577E-05,8.1157E-04,3.2842E-05,-8.0171E-07,0.0298,0.0000,0.0000,0.0000,
B2,3.2014E-03,0.000,1.000,3.7921E-05,1.5331E-03,3.3960E-05,-4.7435E-07,0.0235,0.0000,0.0000,0.0000,
B2,7.3299E-03,0.000,0.9999,3.7923E-05,1.5331E-03,3.3960E-05,-4.7560E-07,0.0235,0.0000,0.0000,0.0000,
B2,1.0000E-02,0.000,0.9998,3.9380E-05,1.9092E-03,3.4597E-05,-2.7734E-07,0.0215,0.0000,0.0000,0.0000,
B2,0.1000,0.000,0.9979,5.0065E-05,1.6732E-02,4.2543E-05,2.1858E-06,0.0400,0.0000,0.0000,0.0000,
B2,0.4125,0.000,0.9914,5.7209E-05,6.9153E-02,5.0082E-05,4.4562E-06,0.1432,0.0000,0.0000,0.0000,
B2,1.000,0.000,0.9915,5.7208E-05,6.9153E-02,5.0082E-05,4.4572E-06,0.1432,0.0000,0.0000,0.0000,
C1,EndTable:,B2,
C1,
C1,
C1,Table C1,Dissolved elements(molality),
C1,Xi,t(days),Cl,Mg,Si,Fe,
E3,0.1000,0.000,-0.0000,-0.0042,-0.0169,0.0000,-0.0169,0.0000,
E3,0.4125,0.000,-0.0000,-0.0046,-0.0183,0.0000,-0.0184,0.0000,
E3,1.000,0.000,-0.0000,-0.0046,-0.0183,0.0000,-0.0184,0.0000,
J,EndTable:,E3,
J,
J,
J,Table J,Moles of reactants destroyed/created,
J,Xi,t(days),forsterite,fayalite,
J,0.000,0.000,0.000,0.000,
J,6.8193E-10,0.000,1.3639E-11,6.6829E-10,
J,1.0000E-08,0.000,2.0000E-10,9.8000E-09,
J,1.0000E-07,0.000,2.0000E-09,9.8000E-08,
J,1.0000E-06,0.000,2.0000E-08,9.8000E-07,
J,1.0000E-05,0.000,2.0000E-07,9.8000E-06,
J,1.0000E-04,0.000,2.0000E-06,9.8000E-05,
J,1.6900E-04,0.000,3.3800E-06,1.6562E-04,
J,2.4731E-04,0.000,4.9461E-06,2.4236E-04,
J,3.7096E-04,0.000,7.4192E-06,3.6354E-04,
J,4.8083E-04,0.000,9.6167E-06,4.7122E-04,
J,4.8989E-04,0.000,9.7979E-06,4.8009E-04,
J,5.9074E-04,0.000,1.1815E-05,5.7892E-04,
J,1.0000E-03,0.000,2.0000E-05,9.8000E-04,
J,1.0259E-03,0.000,2.0518E-05,1.0054E-03,
J,1.0395E-03,0.000,2.0790E-05,1.0187E-03,
J,3.2014E-03,0.000,6.4029E-05,3.1374E-03,
J,7.3299E-03,0.000,1.4660E-04,7.1833E-03,
J,1.0000E-02,0.000,2.0000E-04,9.8000E-03,
J,0.1000,0.000,2.0000E-03,9.8000E-02,
J,0.4125,0.000,8.2494E-03,0.4042,
J,1.000,0.000,2.0000E-02,0.4042,
K,EndTable:,J,
K,
K,
K,Table K,Affinities of reactants (kcal),
K,Xi,t(days),Total,forsterite,fayalite,
K,0.000,0.000,112.7089,83.8353,113.2981,
K,6.8193E-10,0.000,60.3956,37.9355,60.8540,
K,1.0000E-08,0.000,58.0471,31.1609,58.5958,
K,1.0000E-07,0.000,56.0332,25.3517,56.6594,
K,1.0000E-06,0.000,54.0179,19.5385,54.7216,
K,1.0000E-05,0.000,51.9883,13.6864,52.7699,
K,1.0000E-04,0.000,49.7727,7.5007,50.6354,
K,1.6900E-04,0.000,49.0495,5.9421,49.9293,
K,2.4731E-04,0.000,5.3880,6.0724,5.3741,
K,3.7096E-04,0.000,5.0506,6.2128,5.0269,
K,4.8083E-04,0.000,1.9358,6.3031,1.8467,
K,4.8989E-04,0.000,1.8925,6.3031,1.8025,
K,5.9074E-04,0.000,1.4091,6.5621,1.3040,
K,1.0000E-03,0.000,1.1616,6.3147,1.0565,
K,1.0259E-03,0.000,1.1501,6.3031,1.0449,
K,1.0395E-03,0.000,1.1501,6.3031,1.0449,
K,3.2014E-03,0.000,0.6870,6.1856,0.5748,
K,7.3299E-03,0.000,0.6870,6.1856,0.5748,
K,1.0000E-02,0.000,0.6430,6.1308,0.5310,
K,0.1000,0.000,0.3112,5.7182,0.2008,
K,0.4125,0.000,0.1093,5.4674,-0.0000,
K,1.000,0.000,0.1093,5.4674,0.0000,
P,EndTable:,K,
P,
P,
P,Table P,Moles of product minerals,
P,Xi,t(days),hematite,antigorite,magnetite,talc,minnesotaite,greenalite,fayalite,
P,0.000,0.000,
P,6.8193E-10,0.000,3.9541E-13,
P,1.0000E-08,0.000,9.1321E-09,
P,1.0000E-07,0.000,9.7332E-08,
P,1.0000E-06,0.000,9.7933E-07,
P,1.0000E-05,0.000,9.7993E-06,
P,1.0000E-04,0.000,9.7999E-05,
P,1.6900E-04,0.000,1.6562E-04,1.6843E-12,
P,2.4731E-04,0.000,2.4234E-04,8.0907E-08,1.4329E-09,
P,3.7096E-04,0.000,0.000,1.9627E-07,2.4235E-04,
P,4.8083E-04,0.000,0.000,2.8577E-07,3.1406E-04,1.3218E-07,
P,4.8989E-04,0.000,0.000,0.000,3.1998E-04,4.8256E-06,
P,5.9074E-04,0.000,0.000,0.000,3.8581E-04,6.3499E-06,2.5698E-08,
P,1.0000E-03,0.000,0.000,0.000,5.3347E-04,1.1644E-05,1.1974E-04,
P,1.0259E-03,0.000,0.000,6.2888E-09,5.4324E-04,1.1880E-05,1.2689E-04,
P,1.0395E-03,0.000,0.000,7.6011E-07,5.4325E-04,0.000,1.3576E-04,
P,3.2014E-03,0.000,0.000,2.5549E-06,1.3944E-03,0.000,6.9163E-04,5.4148E-06,
P,7.3299E-03,0.000,0.000,5.9953E-06,1.3943E-03,0.000,0.000,3.3944E-03,
P,1.0000E-02,0.000,0.000,8.2159E-06,1.8171E-03,0.000,0.000,4.7160E-03,
P,0.1000,0.000,0.000,8.3161E-05,1.6791E-02,0.000,0.000,4.8542E-02,
P,0.4125,0.000,0.000,3.4350E-04,6.8689E-02,0.000,0.000,0.1991,0.5983,
P,1.000,0.000,0.000,8.3311E-04,6.8694E-02,0.000,0.000,0.1893,0.6129,
Q,EndTable:,P,
Q,
Q,
Q,Table Q,Saturation indices of potential product phases,
Q,Xi,t(days),goethite,H2O,Gas,brucite,coesite,cristobalite,alpha,cristobalite,beta,hematite,quartz,chalcedony,cristobalite,periclase,enstatite,hisingerite,Mg-cronstedtite,chrysotile,forsterite,talc,anthophyllite,antigorite,sepiolite,ferrous-oxide,iron,fayalite,ferrosilite,magnetite,greenalite,Fe-brucite,minnesotaite,grunerite,
Q,0.000,0.000,-9.3855,-0.0000,0.0000,
Q,6.8193E-10,0.000,-0.2598,-0.0000,0.0000,-7.3692,-7.1007,-6.8976,-7.1542,0.0000,-6.5251,-6.7153,-6.8976,
Q,1.0000E-08,0.000,-0.2598,-0.0000,0.0000,-6.2029,-5.9345,-5.7314,-5.9880,-0.0000,-5.3589,-5.5491,-5.7314,-9.1792,
Q,1.0000E-07,0.000,-0.2598,-0.0000,0.0000,-5.2028,-4.9345,-4.7314,-4.9880,-0.0000,-4.3589,-4.5491,-4.7314,-8.1791,-8.3002,-8.5993,
Q,1.0000E-06,0.000,-0.2598,-0.0000,0.0000,-4.2017,-3.9345,-3.7314,-3.9880,0.0000,-3.3589,-3.5491,-3.7314,-7.1780,-6.2990,-6.5993,-8.2581,
Q,1.0000E-05,0.000,-0.2598,-0.0000,0.0000,-3.1904,-2.9346,-2.7315,-2.9881,0.0000,-2.3590,-2.5492,-2.7315,-6.1667,-4.2879,-4.5996,-5.2358,-7.0940,-7.0685,-9.9024,
Q,1.0000E-04,0.000,-0.2598,-0.0000,0.0000,-2.0924,-1.9360,-1.7329,-1.9895,0.0000,-1.3604,-1.5506,-1.7329,-5.0687,-2.1913,-2.6023,-2.0411,-1.8027,-3.8738,-2.6137,
Q,1.6900E-04,0.000,-0.2598,-0.0000,0.0000,-1.8034,-1.7090,-1.5059,-1.7625,-0.0000,-1.1334,-1.3236,-1.5059,-4.7797,-1.6753,-2.1484,-1.2362,-0.4818,-3.0689,-0.8389,-7.7118,-0.0000,-8.2117,
Q,2.4731E-04,0.000,-0.2598,-0.0000,0.0000,-1.9178,-1.5476,-1.3445,-1.6011,-0.0000,-0.9720,-1.1622,-1.3445,-4.8941,-1.6283,-1.8256,-1.3034,-0.5020,-3.1361,-0.5363,-7.2208,-0.0000,-7.7005,-2.1706,-8.7072,-2.7755,-1.8463,-0.0000,-3.7881,-2.3997,-4.0688,-9.9708,
Q,3.7096E-04,0.000,-0.2610,-0.0000,0.0000,-2.0411,-1.3735,-1.1704,-1.4270,-0.0026,-0.7979,-0.9881,-1.1704,-5.0174,-1.5775,-1.4799,-1.3786,-0.5237,-3.2087,-0.2098,-6.6911,0.0000,-7.1491,-2.1680,-8.6969,-2.5962,-1.6696,0.0000,-3.4321,-2.3971,-3.3645,-8.5597,
Q,4.8083E-04,0.000,-0.6437,-0.0000,0.0000,-2.1204,-1.2616,-1.0585,-1.3151,-0.7679,-0.6860,-0.8762,-1.0585,-5.0967,-1.5448,-2.0215,-2.1905,-0.5377,-3.2553,-0.0000,-6.3508,-0.0000,-6.7948,-1.4027,-5.6357,-0.9537,-0.7924,0.0000,-0.9125,-1.6318,-0.6211,-2.3077,
Q,4.8989E-04,0.000,-0.6494,-0.0000,0.0000,-2.1204,-1.2616,-1.0585,-1.3151,-0.7793,-0.6860,-0.8762,-1.0585,-5.0967,-1.5448,-2.0329,-2.2019,-0.5377,-3.2553,-0.0000,-6.3508,-0.0000,-6.7948,-1.3913,-5.5900,-0.9309,-0.7810,-0.0000,-0.8782,-1.6204,-0.5869,-2.2277,
Q,5.9074E-04,0.000,-0.6937,-0.0000,0.0000,-2.2274,-1.1813,-0.9782,-1.2348,-0.8679,-0.6057,-0.7959,-0.9782,-5.2037,-1.5716,-1.9609,-2.4243,-0.6983,-3.3891,0.0000,-6.4579,-2.4082,-6.7413,-1.3027,-5.2357,-0.6734,-0.6121,0.0000,-0.4519,-1.5318,0.0000,-0.9654,
Q,1.0000E-03,0.000,-0.7448,-0.0000,0.0000,-2.1251,-1.2580,-1.0549,-1.3115,-0.9701,-0.6824,-0.8726,-1.0549,-5.1014,-1.5460,-2.2166,-2.3987,-0.5449,-3.2613,-0.0000,-6.3556,-0.1074,-6.7925,-1.2005,-4.8266,-0.5456,-0.5866,-0.0000,-0.2985,-1.4296,-0.0000,-0.8632,
Q,1.0259E-03,0.000,-0.7472,-0.0000,0.0000,-2.1204,-1.2616,-1.0585,-1.3151,-0.9749,-0.6860,-0.8762,-1.0585,-5.0966,-1.5448,-2.2285,-2.3975,-0.5377,-3.2553,0.0000,-6.3508,0.0000,-6.7949,-1.1957,-4.8075,-0.5397,-0.5854,-0.0000,-0.2913,-1.4248,0.0000,-0.8584,
Q,1.0395E-03,0.000,-0.7472,-0.0000,0.0000,-2.1204,-1.2616,-1.0585,-1.3151,-0.9749,-0.6860,-0.8762,-1.0585,-5.0966,-1.5448,-2.2285,-2.3975,-0.5377,-3.2553,-0.0000,-6.3508,-0.0000,-6.7949,-1.1957,-4.8075,-0.5396,-0.5854,-0.0000,-0.2913,-1.4248,-0.0000,-0.8584,
Q,3.2014E-03,0.000,-0.8443,-0.0000,0.0000,-2.0172,-1.4073,-1.2042,-1.4608,-1.1691,-0.8317,-1.0219,-1.2042,-4.9935,-1.5873,-2.7141,-2.5311,-0.5195,-3.1946,-0.2731,-6.7939,0.0000,-7.2562,-1.0015,-4.0306,-0.2969,-0.5368,0.0000,-0.0000,-1.2306,0.0000,-0.6641,
Q,7.3299E-03,0.000,-0.8443,-0.0000,0.0000,-2.0172,-1.4073,-1.2042,-1.4608,-1.1691,-0.8317,-1.0219,-1.2042,-4.9935,-1.5873,-2.7141,-2.5311,-0.5195,-3.1946,-0.2731,-6.7939,-0.0000,-7.2562,-1.0015,-4.0306,-0.2969,-0.5368,-0.0000,-0.0000,-1.2306,-0.0000,-0.6641,
Q,1.0000E-02,0.000,-0.8670,-0.0000,0.0000,-1.9691,-1.4752,-1.2721,-1.5287,-1.2144,-0.8996,-1.0898,-1.2721,-4.9454,-1.6071,-2.8951,-2.5480,-0.5110,-3.1663,-0.4004,-7.0004,-0.0000,-7.4712,-0.9562,-3.8496,-0.2742,-0.5594,-0.0000,-0.0000,-1.1853,-0.1358,-0.8904,
Q,0.1000,0.000,-1.0374,-0.0001,0.0000,-1.6071,-1.9862,-1.7831,-2.0397,-1.5552,-1.4106,-1.6008,-1.7831,-4.5833,-1.7561,-4.2583,-2.6760,-0.4472,-2.9532,-1.3586,-8.5545,-0.0000,-9.0901,-0.6154,-2.4864,-0.1037,-0.7297,-0.0000,-0.0000,-0.8446,-1.1578,-2.5936,
Q,0.4125,0.000,-1.1409,-0.0005,0.0000,-1.3880,-2.2957,-2.0926,-2.3492,-1.7618,-1.7201,-1.9103,-2.0926,-4.3638,-1.8461,-5.0848,-2.7539,-0.4085,-2.8237,-1.9385,-9.4945,0.0000,-10.0720,-0.4088,-1.6599,0.0000,-0.8326,-0.0000,0.0000,-0.6384,-1.7764,-3.6238,
Q,1.000,0.000,-1.1409,-0.0005,0.0000,-1.3880,-2.2957,-2.0926,-2.3492,-1.7618,-1.7201,-1.9103,-2.0926,-4.3638,-1.8461,-5.0848,-2.7539,-0.4085,-2.8237,-1.9385,-9.4945,-0.0000,-10.0720,-0.4088,-1.6599,-0.0000,-0.8326,-0.0000,-0.0000,-0.6384,-1.7764,-3.6238,
T,EndTable:,Q,
T,
T,
T,Table T,Fugacities (bars),
T,Xi,t(days),H2O(g),O2(g),H2(g),
T,0.000,0.000,5.091,0.2140,4.0324E-27,
T,6.8193E-10,0.000,5.091,0.2140,4.0325E-27,
T,1.0000E-08,0.000,5.091,0.2140,4.0325E-27,
T,1.0000E-07,0.000,5.091,0.2139,4.0333E-27,
T,1.0000E-06,0.000,5.091,0.2132,4.0406E-27,
T,1.0000E-05,0.000,5.091,0.2054,4.1167E-27,
T,1.0000E-04,0.000,5.091,0.1273,5.2276E-27,
T,1.6900E-04,0.000,5.091,6.7539E-02,7.1783E-27,
T,2.4731E-04,0.000,5.091,1.3508E-47,5.0757E-04,
T,3.7096E-04,0.000,5.091,1.3034E-47,5.1672E-04,
T,4.8083E-04,0.000,5.091,3.3370E-52,0.1021,
T,4.8989E-04,0.000,5.091,2.8500E-52,0.1105,
T,5.9074E-04,0.000,5.091,8.3809E-53,0.2038,
T,1.0000E-03,0.000,5.091,2.0405E-53,0.4130,
T,1.0259E-03,0.000,5.091,1.9103E-53,0.4268,
T,1.0395E-03,0.000,5.091,1.9102E-53,0.4268,
T,3.2014E-03,0.000,5.091,1.3054E-54,1.633,
T,7.3299E-03,0.000,5.091,1.3053E-54,1.633,
T,1.0000E-02,0.000,5.091,6.9845E-55,2.232,
T,0.1000,0.000,5.089,6.2999E-57,23.50,
T,0.4125,0.000,5.085,3.6282E-58,97.82,
T,1.000,0.000,5.085,3.6282E-58,97.82,
W,EndTable:,T,
W,
W,
W,Table W,Overall mass and volume changes,
W,Xi,t(days),g destroyed,g created,g net,cc destroyed,cc created,cc net,
W,0.000,  0.000,0.000,0.000,0.000,0.000,0.000,0.000,
W,6.8193E-10,  0.000,1.3810E-07,6.3144E-11,-1.3804E-07,0.000,0.000,0.000,
W,1.0000E-08,  0.000,2.0252E-06,1.4583E-06,-5.6683E-07,0.000,0.000,0.000,
W,1.0000E-07,  0.000,2.0252E-05,1.5543E-05,-4.7084E-06,0.000,0.000,0.000,
W,1.0000E-06,  0.000,2.0252E-04,1.5639E-04,-4.6124E-05,0.000,0.000,0.000,
W,1.0000E-05,  0.000,2.0252E-03,1.5649E-03,-4.6028E-04,0.000,0.000,0.000,
W,1.0000E-04,  0.000,2.0252E-02,1.5650E-02,-4.6018E-03,0.000,0.000,0.000,
W,1.6900E-04,  0.000,3.4226E-02,2.6448E-02,-7.7771E-03,0.000,0.000,0.000,
W,2.4731E-04,  0.000,5.0083E-02,3.9067E-02,-1.1016E-02,0.000,0.000,0.000,
W,3.7096E-04,  0.000,7.5126E-02,5.7003E-02,-1.8122E-02,0.000,0.000,0.000,
W,4.8083E-04,  0.000,9.7376E-02,7.4064E-02,-2.3312E-02,0.000,0.000,0.000,
W,4.8989E-04,  0.000,9.9211E-02,7.5918E-02,-2.3293E-02,0.000,0.000,0.000,
W,5.9074E-04,  0.000,0.1196,9.1751E-02,-2.7883E-02,0.000,0.000,0.000,
W,1.0000E-03,  0.000,0.2025,0.1847,-1.7839E-02,0.000,0.000,0.000,
W,1.0259E-03,  0.000,0.2078,0.1904,-1.7315E-02,0.000,0.000,0.000,
W,1.0395E-03,  0.000,0.2105,0.1936,-1.6948E-02,0.000,0.000,0.000,
W,3.2014E-03,  0.000,0.6483,0.6642,1.5870E-02,0.000,0.000,0.000,
W,7.3299E-03,  0.000,1.484,1.612,0.1274,0.000,0.000,0.000,
W,1.0000E-02,  0.000,2.025,2.211,0.1860,0.000,0.000,0.000,
W,0.1000,  0.000,20.25,22.31,2.058,0.000,0.000,0.000,
W,0.4125,  0.000,83.53,213.4,129.9,0.000,0.000,0.000,
W,1.000,  0.000,85.19,215.0,129.8,0.000,0.000,0.000,
Z,EndTable:,W,
Z,
Z,
Z,Table Z,Endfile,
Z,Endtable:,Z,
